image_path,label,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass_x,center_of_mass_y,convex_hull_vertices
dataset_augment/Grape/Grape_healthy/image (326).JPG,1,31474.0,37148.5,0.8472482065224706,994.180801153183,220,231,1610,124.62855054966003,140.7700324077016,20
dataset_augment/Grape/Grape_healthy/image (63)_augmented_1105.JPG,1,32089.0,35188.0,0.9119302034784585,905.7543950080872,200,227,1580,130.36043504004488,131.41983234130075,28
dataset_augment/Grape/Grape_healthy/image (263).JPG,1,39078.0,42892.5,0.9110683685959083,931.8376553058624,241,240,1654,124.59655048876606,129.92189979016325,26
dataset_augment/Grape/Grape_healthy/image (389)_augmented_483.JPG,1,34491.0,39276.0,0.8781698747326612,984.4234417676926,225,238,1766,133.8318691832652,130.91644197036908,22
dataset_augment/Grape/Grape_healthy/image (246)_augmented_1061.JPG,1,30721.0,34250.5,0.8969504094830733,847.5950146913528,215,244,1661,133.20207675531395,136.4802252530842,24
dataset_augment/Grape/Grape_healthy/image (153)_augmented_813.JPG,1,29149.0,32529.5,0.8960789437280008,839.1269783973694,210,218,1533,116.74915091426807,126.61720813750043,25
dataset_augment/Grape/Grape_healthy/image (176)_augmented_1348.JPG,1,38014.0,43624.0,0.8714010636346965,986.281306385994,241,251,1750,122.22215499552796,121.04842952596412,29
dataset_augment/Grape/Grape_healthy/image (371).JPG,1,34265.0,37299.0,0.9186573366578192,911.6955199241638,229,233,1643,124.60548664818327,125.53410185320298,26
dataset_augment/Grape/Grape_healthy/image (121)_augmented_808.JPG,1,33544.0,36523.0,0.9184349587930893,856.1391710042953,232,218,1543,129.54638683520153,124.8186262818984,39
dataset_augment/Grape/Grape_healthy/image (105)_augmented_683.JPG,1,38787.0,42714.5,0.9080523007409662,968.080295920372,227,245,1708,125.22584886688838,128.1634826101529,34
dataset_augment/Grape/Grape_healthy/image (234).JPG,1,36191.0,39444.0,0.9175286482101207,892.0214208364487,234,222,1568,129.52090298693045,147.10756817993425,33
dataset_augment/Grape/Grape_healthy/image (201)_augmented_1011.JPG,1,21176.0,23899.0,0.8860621783338215,707.9137753248215,194,174,1346,126.17774839440877,124.29132036267472,26
dataset_augment/Grape/Grape_healthy/image (164)_augmented_1101.JPG,1,31634.0,35230.5,0.897915158740296,860.9675980806351,211,228,1646,130.83230068913196,133.06097869381045,30
dataset_augment/Grape/Grape_healthy/image (42)_augmented_1021.JPG,1,37147.0,41329.0,0.8988119722228943,909.8376553058624,228,239,1669,131.68963846340216,139.48496513850378,25
dataset_augment/Grape/Grape_healthy/image (327)_augmented_546.JPG,1,36064.0,40753.5,0.8849301287006024,945.192993760109,251,234,1723,133.52678571428572,133.53687888198758,33
dataset_augment/Grape/Grape_healthy/image (90)_augmented_792.JPG,1,33805.0,35264.5,0.9586127692155,820.9675980806351,205,227,1661,132.3244490459991,137.53296849578464,35
dataset_augment/Grape/Grape_healthy/image (247)_augmented_1128.JPG,1,34689.0,37169.0,0.9332777314428691,881.9137753248215,227,219,1582,133.8676813975612,125.25301968923867,27
dataset_augment/Grape/Grape_healthy/image (408).JPG,1,28954.0,32345.5,0.8951477021533134,804.2985513210297,197,226,1533,123.4206672653174,134.70390964978932,37
dataset_augment/Grape/Grape_healthy/image (315)_augmented_1037.JPG,1,33709.0,36695.5,0.9186139989917019,908.7665876150131,219,226,1717,124.36794327924294,120.63887982437925,27
dataset_augment/Grape/Grape_healthy/image (417)_augmented_1199.JPG,1,16926.0,18326.0,0.9236058059587471,637.345233798027,161,161,1431,128.20997282287604,121.08141321044546,21
dataset_augment/Grape/Grape_healthy/image (23)_augmented_508.JPG,1,38334.0,41431.5,0.9252380435176134,922.9259679317474,212,244,1710,123.55493817498827,128.69541399280013,34
dataset_augment/Grape/Grape_healthy/image (220)_augmented_1294.JPG,1,25314.0,26597.0,0.9517614768582923,684.1736608743668,199,174,1414,130.5955597692976,124.33767875483922,34
dataset_augment/Grape/Grape_healthy/image (324)_augmented_768.JPG,1,31214.0,33174.0,0.9409175860613733,785.068103313446,216,202,1455,123.55789069007497,125.55353367078875,41
dataset_augment/Grape/Grape_healthy/image (367).JPG,1,32459.0,36433.5,0.8909108375533507,1018.080295920372,194,242,1741,139.36633907390862,132.608829600419,25
dataset_augment/Grape/Grape_healthy/image (354)_augmented_779.JPG,1,19556.0,20682.0,0.9455565225800213,644.0731556415558,152,169,1199,131.97555737369606,142.64675802822663,27
dataset_augment/Grape/Grape_healthy/image (388).JPG,1,31531.0,34960.5,0.9019035768939231,904.180801153183,216,245,1711,144.32111255589737,144.70793821952998,27
dataset_augment/Grape/Grape_healthy/image (222).JPG,1,41176.0,47289.0,0.8707310368161729,1143.3351291418076,237,246,1837,139.12332426656306,136.52778317466485,21
dataset_augment/Grape/Grape_healthy/image (383)_augmented_776.JPG,1,32484.0,37192.0,0.8734136373413637,971.168608546257,219,236,1623,131.45311537987934,143.4340598448467,22
dataset_augment/Grape/Grape_healthy/image (347)_augmented_1343.JPG,1,21036.0,23840.5,0.8823640443782639,699.7127648591995,178,169,1326,119.04530328959878,137.14603536794067,24
dataset_augment/Grape/Grape_healthy/image (146)_augmented_870.JPG,1,37128.0,41008.5,0.9053732762719924,1043.778780221939,227,235,1773,124.46064964447318,128.2750754147813,29
dataset_augment/Grape/Grape_healthy/image (390)_augmented_940.JPG,1,34474.0,37396.0,0.9218633008877954,899.6122596263885,211,227,1593,130.5172593838835,132.0758832743517,32
dataset_augment/Grape/Grape_healthy/image (350)_augmented_846.JPG,1,20676.0,22301.0,0.9271333124075154,690.1147857904434,173,173,1157,146.6131263300445,139.11665699361578,32
dataset_augment/Grape/Grape_healthy/image (244)_augmented_526.JPG,1,46179.0,49457.0,0.9337202013870635,969.0264731645584,256,238,2055,131.49082916477187,117.22360813356721,23
dataset_augment/Grape/Grape_healthy/image (330).JPG,1,37289.0,39876.0,0.9351238840405256,888.0386657714844,225,249,1712,129.66413687682694,146.9337069913379,26
dataset_augment/Grape/Grape_healthy/image (100)_augmented_597.JPG,1,38695.0,43506.0,0.8894175516020779,990.5239470005035,226,246,1682,133.46649437911876,130.2780721023388,25
dataset_augment/Grape/Grape_healthy/image (348)_augmented_548.JPG,1,25668.0,31284.0,0.8204833141542003,839.9554054737091,219,199,1461,134.66051114227832,153.94892473118279,21
dataset_augment/Grape/Grape_healthy/image (10)_augmented_1194.JPG,1,15987.0,17473.0,0.9149545012304698,601.7300097942352,153,144,1105,107.82285607055732,132.92775379996246,34
dataset_augment/Grape/Grape_healthy/image (185)_augmented_812.JPG,1,35542.0,37421.0,0.949787552443815,842.4995617866516,212,223,1611,118.5128298913961,155.44119633110122,28
dataset_augment/Grape/Grape_healthy/image (275).JPG,1,28783.0,30850.5,0.932983257969887,809.2274836301804,197,224,1435,118.02803738317758,119.94385574818469,29
dataset_augment/Grape/Grape_healthy/image (92)_augmented_834.JPG,1,21972.0,23963.5,0.9168944436330252,683.8132700920105,210,156,1419,124.69948115783724,115.66052248316039,33
